
DATE: 2023-03-14 12:30:12
Time,Ego Position X,Ego Position Y
2023-03-14 12:30:16.074,-103.1790771484375,-14.435338020324707
2023-03-14 12:30:17.084,-103.1790771484375,-14.435338020324707
2023-03-14 12:30:18.097,-103.1790771484375,-14.435338020324707
2023-03-14 12:30:19.105,-103.1790771484375,-14.435338020324707
2023-03-14 12:30:20.195,-103.17909240722656,-14.435333251953125
2023-03-14 12:30:21.226,-103.17909240722656,-14.435333251953125
2023-03-14 12:30:22.450,-103.16864776611328,-15.36621379852295
2023-03-14 12:30:23.680,-103.15377807617188,-16.692502975463867
2023-03-14 12:30:24.920,-103.14064025878906,-17.868120193481445
2023-03-14 12:30:26.134,-103.12962341308594,-18.84451675415039
2023-03-14 12:30:27.362,-103.054931640625,-19.439401626586914
2023-03-14 12:30:28.586,-103.029052734375,-19.92072105407715
2023-03-14 12:30:29.814,-102.97747039794922,-20.676416397094727
2023-03-14 12:30:31.041,-102.81375885009766,-21.57913589477539
2023-03-14 12:30:32.262,-102.80061340332031,-22.403371810913086
2023-03-14 12:30:33.492,-102.73892974853516,-23.14118766784668
2023-03-14 12:30:34.707,-102.68387603759766,-23.863082885742188
2023-03-14 12:30:35.935,-102.5942153930664,-25.05708122253418
2023-03-14 12:30:37.179,-102.42450714111328,-27.31716537475586
2023-03-14 12:30:38.388,-102.13951110839844,-30.769338607788086
2023-03-14 12:30:39.606,-100.76876068115234,-33.210968017578125
2023-03-14 12:30:40.615,-99.90532684326172,-34.03601837158203
2023-03-14 12:30:41.629,-99.4662857055664,-34.606937408447266
2023-03-14 12:30:42.870,-99.09681701660156,-35.03860855102539
2023-03-14 12:30:44.082,-99.01231384277344,-35.34811019897461
2023-03-14 12:30:45.300,-98.94703674316406,-36.08504867553711
2023-03-14 12:30:46.530,-98.36235046386719,-37.52312088012695
2023-03-14 12:30:47.692,-97.93517303466797,-39.55685043334961
2023-03-14 12:30:48.887,-97.19287872314453,-42.63848876953125
2023-03-14 12:30:50.104,-95.33766174316406,-44.88249969482422
2023-03-14 12:30:51.142,-93.91173553466797,-45.44720458984375
2023-03-14 12:30:52.187,-93.29370880126953,-46.82415008544922
2023-03-14 12:30:53.414,-92.78394317626953,-48.69374465942383
2023-03-14 12:30:54.612,-91.22810363769531,-49.63662338256836
2023-03-14 12:30:55.640,-90.28225708007812,-50.5830078125
2023-03-14 12:30:56.889,-89.24054718017578,-53.732967376708984
2023-03-14 12:30:58.104,-87.02423858642578,-56.26972198486328
2023-03-14 12:30:59.156,-83.7779541015625,-57.65365219116211
2023-03-14 12:31:00.194,-80.39859008789062,-59.96195983886719
2023-03-14 12:31:01.206,-76.33902740478516,-62.077030181884766
2023-03-14 12:31:02.295,-71.82311248779297,-61.77050018310547
2023-03-14 12:31:03.377,-66.71351623535156,-61.26326370239258
2023-03-14 12:31:04.440,-61.450286865234375,-61.62301254272461
2023-03-14 12:31:05.517,-57.25279998779297,-60.83913040161133
2023-03-14 12:31:06.601,-55.54310989379883,-58.24644470214844
2023-03-14 12:31:07.673,-54.96650314331055,-54.66758728027344
2023-03-14 12:31:08.715,-53.43503952026367,-52.80777359008789
2023-03-14 12:31:09.788,-49.343841552734375,-51.71708679199219
